Temp-pH,Acute,Chronic
0-6.5,28.7,2.08
1-6.5,28.3,2.05
2-6.5,27.9,2.02
3-6.5,27.5,1.99
4-6.5,27.2,1.97
5-6.5,26.8,1.94
6-6.5,26.5,1.92
7-6.5,26.2,1.9
8-6.5,26,1.88
9-6.5,25.7,1.86
10-6.5,25.5,1.84
11-6.5,25.2,1.82
12-6.5,25,1.81
13-6.5,24.8,1.8
14-6.5,24.6,1.78
15-6.5,24.5,1.77
16-6.5,24.3,1.64
17-6.5,24.2,1.52
18-6.5,24,1.41
19-6.5,23.9,1.31
20-6.5,23.8,1.22
0-6.6,27.9,2.08
1-6.6,27.5,2.05
2-6.6,27.2,2.02
3-6.6,26.8,1.99
4-6.6,26.4,1.97
5-6.6,26.1,1.94
6-6.6,25.8,1.92
7-6.6,25.5,1.9
8-6.6,25.2,1.88
9-6.6,25,1.86
10-6.6,24.7,1.84
11-6.6,24.5,1.82
12-6.6,24.3,1.81
13-6.6,24.1,1.8
14-6.6,23.9,1.78
15-6.6,23.8,1.77
16-6.6,23.6,1.64
17-6.6,23.5,1.52
18-6.6,23.3,1.41
19-6.6,23.3,1.31
20-6.6,23.2,1.22
0-6.7,26.9,2.08
1-6.7,26.5,2.05
2-6.7,26.2,2.02
3-6.7,25.9,1.99
4-6.7,25.5,1.97
5-6.7,25.2,1.94
6-6.7,24.9,1.92
7-6.7,24.6,1.9
8-6.7,24.4,1.88
9-6.7,24.1,1.86
10-6.7,23.9,1.84
11-6.7,23.7,1.83
12-6.7,23.5,1.81
13-6.7,23.3,1.8
14-6.7,23.1,1.78
15-6.7,23,1.77
16-6.7,22.8,1.64
17-6.7,22.7,1.52
18-6.7,22.6,1.41
19-6.7,22.5,1.31
20-6.7,22.4,1.22
0-6.8,25.8,2.08
1-6.8,25.5,2.05
2-6.8,25.1,2.02
3-6.8,24.8,1.99
4-6.8,24.5,1.97
5-6.8,24.2,1.94
6-6.8,23.9,1.92
7-6.8,23.6,1.9
8-6.8,23.4,1.88
9-6.8,23.1,1.86
10-6.8,22.9,1.84
11-6.8,22.7,1.83
12-6.8,22.5,1.81
