param,Location,Type,Status,apply,Depends,range,GL_lower,GL_upper,pltName,pltcol,done
"Dissolved Oxygen, Field",BC,Long-term chronic,approved,value,NA,,8,9999,BCWQG (long-term),#C00000,
"pH, Field",BC,Long-term chronic,approved,value,NA,,6.5,9,BCWQG (long-term),#C00000,
Chloride (Cl),BC,Long-term chronic,approved,value,NA,,0,150,BCWQG (long-term),#C00000,
"Alkalinity, Total (as CaCO3)",BC,Long-term chronic,approved,value,NA,,20,9999,BCWQG (long-term),#C00000,
"Ammonia, Total (as N)",BC,Long-term chronic,approved,function,temp_ph,,0,"as.numeric(BCammLu[BCammLu$`Temp-pH`==x,""Chronic""])[1]",BCWQG (long-term),#C00000,
Nitrite (as N),BC,Long-term chronic,approved,function,Chloride (Cl)_screen,,0,if(`x`<2){0.02}else if(`x`<4) {0.04}else if(`x`<6) {0.06}else if(`x`<8) {0.08}else if(`x`<10){0.1}else {0.2},BCWQG (long-term),#C00000,
Sulphate,BC,Long-term chronic,approved,function,Hardness (as CaCO3)_screen,,0,if(x<30){128}else if(x<75){218}else if(x<180) {309}else{429},BCWQG (long-term),#C00000,
Aluminum (Al)-Dissolved,BC,Long-term chronic,approved,function,"pH, Field_screenMin",,0,if (x>=6.5) {0.05}else { exp(1.6 - 3.327*(x)+ 0.402*(x)^2)},BCWQG (long-term),#C00000,
Antimony (Sb)-Total,BC,Long-term chronic,approved,value,NA,,0,0.009,BCWQG (long-term),#C00000,
Barium (Ba)-Total,BC,Long-term chronic,approved,value,NA,,0,1,BCWQG (long-term),#C00000,
Beryllium (Be)-Total,BC,Long-term chronic,approved,value,NA,,0,0.00013,BCWQG (long-term),#C00000,
Boron (B)-Total,BC,Long-term chronic,approved,value,NA,,0,1.2,BCWQG (long-term),#C00000,
Cadmium (Cd)-Dissolved,BC,Long-term chronic,approved,function,Hardness (as CaCO3)_screen,3.4-285,0,"exp(0.736*log(max(min(x,285),3.4))-4.943)*0.001",BCWQG (long-term),#C00000,
Chromium (Cr)-Total,BC,Long-term chronic,approved,value,NA,,0,0.001,BCWQG (long-term),#C00000,
Cobalt (Co)-Total,BC,Long-term chronic,approved,value,NA,,0,0.004,BCWQG (long-term),#C00000,
Lead (Pb)-Total,BC,Long-term chronic,approved,function,Hardness (as CaCO3)_screen,8-360,0,"if (x<=8) {NA}else {0.001*(3.31+exp((1.273*log(min(x,360))-4.704)))} ",BCWQG (long-term),#C00000,
Manganese (Mn)-Total,BC,Long-term chronic,approved,function,Hardness (as CaCO3)_screen,37-450 ,0,"0.0044*max(37,min(450,(x)))+0.605",BCWQG (long-term),#C00000,
Nitrate (as N),BC,Long-term chronic,approved,value,NA,,0,3,BCWQG (long-term),#C00000,
Mercury (Hg)-Total,BC,Long-term chronic,approved,value,NA,,0,0.00000125,BCWQG (long-term),#C00000,
Molybdenum (Mo)-Total,BC,Long-term chronic,approved,value,NA,,0,7.6,BCWQG (long-term),#C00000,
Selenium (Se)-Total,BC,Long-term chronic,approved,value,NA,,0,0.002,BCWQG (long-term),#C00000,
Silver (Ag)-Total,BC,Long-term chronic,approved,function,Hardness (as CaCO3)_screen,,0,if (x<=100) {0.00005}else {0.0015} ,BCWQG (long-term),#C00000,
Thallium (Tl)-Total,BC,Long-term chronic,approved,value,NA,,0,0.0008,BCWQG (long-term),#C00000,
Uranium (U)-Total,BC,Long-term chronic,approved,value,NA,,0,0.0085,BCWQG (long-term),#C00000,
Zinc (Zn)-Total,BC,Long-term chronic,approved,function,Hardness (as CaCO3)_screen,90-330,0,"if (x<=90) {0.0075}else { (7.5 + 0.75* (min(x,330) - 90))*0.001}",BCWQG (long-term),#C00000,
Nickel (Ni)-Total,BC,Long-term chronic,approved,function,Hardness (as CaCO3)_screen,,0,if(x<=60) {0.025}else if(x>=180){0.15}else{0.001*exp(0.76*log(x)+ 1.06)},BCWQG (long-term),#C00000,
"Dissolved Oxygen, Field",BC,Short-term acute,approved,value,NA,,5,9999,BCWQG (short-term),#7030A0,
Fluoride,BC,Short-term acute,approved,function,Hardness (as CaCO3)_screen,10-385,0,"if(x<= 10){0.4}else{(-51.73+92.57*log10(min(385,x))) * 0.01}",BCWQG (short-term),#7030A0,
Chloride (Cl),BC,Short-term acute,approved,value,NA,,0,600,BCWQG (short-term),#7030A0,
"Ammonia, Total (as N)",BC,Short-term acute,approved,function,temp_ph,,0,"as.numeric(BCammLu[BCammLu$`Temp-pH`==x,""Acute""])[1]",BCWQG (short-term),#7030A0,
Nitrite (as N),BC,Short-term acute,approved,function,Chloride (Cl)_screen,,0,if(x<2){0.06}else if(x<4) {0.12}else if(x<6) {0.18}else if(x<8) {0.24}else if(x<10){0.3}else {0.6},BCWQG (short-term),#7030A0,
Aluminum (Al)-Dissolved,BC,Short-term acute,approved,function,"pH, Field_screenMin",,0,if(x>=6.5){0.1}else{exp(1.209 - 2.426*(x)+ 0.286*(x)^2)},BCWQG (short-term),#7030A0,
Arsenic (As)-Total,BC,Short-term acute,approved,value,,,0,0.005,BCWQG (short-term),#7030A0,
Cadmium (Cd)-Dissolved,BC,Short-term acute,approved,function,Hardness (as CaCO3)_screen,7-455,0,"(exp(1.03*log(max(min(x,455),7))-5.274))*0.001",BCWQG (short-term),#7030A0,
Cobalt (Co)-Total,BC,Short-term acute,approved,value,,,0,0.11,BCWQG (short-term),#7030A0,
Lead (Pb)-Total,BC,Short-term acute,approved,function,Hardness (as CaCO3)_screen,8-360,0,"if (x<=8) {0.003}else {0.001*exp(1.273*log(min(x,360))-1.46)}",BCWQG (short-term),#7030A0,
Manganese (Mn)-Total,BC,Short-term acute,approved,function,Hardness (as CaCO3)_screen,25-259,0,"0.01102*max(25,min(259,(x)))+0.54",BCWQG (short-term),#7030A0,
Nitrate (as N),BC,Short-term acute,approved,value,,,0,32.8,BCWQG (short-term),#7030A0,
Iron (Fe)-Total,BC,Short-term acute,approved,value,,,0,1,BCWQG (short-term),#7030A0,
Iron (Fe)-Dissolved,BC,Short-term acute,approved,value,,,0,0.35,BCWQG (short-term),#7030A0,
Molybdenum (Mo)-Total,BC,Short-term acute,approved,value,,,0,46,BCWQG (short-term),#7030A0,
Silver (Ag)-Total,BC,Short-term acute,approved,function,Hardness (as CaCO3)_screen,,0,if(x<=100){0.0001}else{0.003},BCWQG (short-term),#7030A0,
Zinc (Zn)-Total,BC,Short-term acute,approved,function,Hardness (as CaCO3)_screen,90-500,0,"if (x<=90){0.033}else{(33 + 0.75*(min(x,500) - 90))*0.001}",BCWQG (short-term),#7030A0,
Total Dissolved Solids,BC,Teck-BM1,approved,value,,,0,1000,EVWQP Level 1 Benchmark,#ED7D31,
Nitrate (as N),BC,Teck-BM1,approved,function,Hardness (as CaCO3)_screen,,0,"if (manUnit < 3){10^(1.0003*log10(min(x,500)) -1.52)} else{NA}",EVWQP Level 1 Benchmark,#ED7D31,
Sulphate,BC,Teck-BM1,approved,function,NA,,0,if (manUnit == 6){308} else{429},EVWQP Level 1 Benchmark,#ED7D31,
Nickel (Ni)-Total,BC,Teck-BM1,approved,value,,,0,0.0053,Interim Screening Value Level 1,#ED7D31,
Selenium (Se)-Total,BC,Teck-BM1,approved,function,NA,,0,if (manUnit == 1){0.07} else{0.019},EVWQP Level 1 Benchmark,#ED7D31,
Cadmium (Cd)-Dissolved,BC,Teck-BM1,approved,function,Hardness (as CaCO3)_screen,,0,0.001*10^(0.83*log10(x)-2.53),EVWQP Level 1 Benchmark,#ED7D31,
Nitrate (as N),BC,Teck-BM2,approved,function,Hardness (as CaCO3)_screen,,0,"if (manUnit < 3){10^(1.0003*log10(min(x,500)) -1.38)} else{NA}",EVWQP Level 2 Benchmark,#FFC000,
Selenium (Se)-Total,BC,Teck-BM2,approved,function,NA,,0,if (manUnit == 1){0.187} else{0.074},EVWQP Level 2 Benchmark,#FFC000,
Nickel (Ni)-Total,BC,Teck-BM2,interim,value,NA,,0,0.015,Interim Screening Value Level 2,#FFC000,
Nickel (Ni)-Total,BC,Teck-BM3,interim,value,NA,,0,0.022,Interim Screening Value Level 3,#000000,
